token_address,from_address,to_address,value,transaction_hash,log_index,block_number
0xb64ef51c888972c908cfacf59b47c1afbc0ab8ac,0x78903c52de3923d203881f1b766160cba5a37f59,0xc20d6d7d2e7cde1cabc7f20c553fe93dada380f3,209000000,0x430d2a02f678d28bb6e441cd383a6ddd02f30c05378d64fb4e34a17cf0162735,29,6525300
0xb64ef51c888972c908cfacf59b47c1afbc0ab8ac,0x78903c52de3923d203881f1b766160cba5a37f59,0xc4c49dbf1b4bc997c9a9758c1b1f86d33da4232d,191000000,0x5e138acd30d124a6ff031326fa91e1c4d0a345a2955d4a8be9f753fce73abd09,33,6525300
0xb64ef51c888972c908cfacf59b47c1afbc0ab8ac,0x78903c52de3923d203881f1b766160cba5a37f59,0xab194b0c3e3423ec6cbe44fdf096cb43251d1ccd,181000000,0xacccc26bb6ed8e03b7b6b17e1a7ee9a209ad0e3d7d19bac5703f62dd31d6762a,36,6525300
0xb64ef51c888972c908cfacf59b47c1afbc0ab8ac,0x78903c52de3923d203881f1b766160cba5a37f59,0xe29b47e4d0cc68b847226c652f2a5e73d1a94343,204000000,0x0600e6d229b403adb01bb6e54bebf0af329e30016427cc959fb91833986d23eb,37,6525300
0xb64ef51c888972c908cfacf59b47c1afbc0ab8ac,0x78903c52de3923d203881f1b766160cba5a37f59,0x5d0a1a7c7507142f06c04ffd604ab7b85b442f98,209000000,0xd4527c3f59fb6fa066646ab6aff57de86bb688c93569d47dfbec90d84abc9982,38,6525300
0xb64ef51c888972c908cfacf59b47c1afbc0ab8ac,0x78903c52de3923d203881f1b766160cba5a37f59,0x9dbb2a9d26a7b88b6f5c66123f5ffab02bec9d78,189000000,0xe8a4e90e3dca116663bb6635d9b75eb0b97af64f9ad67074587f7d682e92ec3a,39,6525300
0xb64ef51c888972c908cfacf59b47c1afbc0ab8ac,0x78903c52de3923d203881f1b766160cba5a37f59,0xc84ae1f51e8ba4c37b12add0606fc9768298197e,199000000,0x508525b4d9e573ef1e0bddcc8435484cc662e6537ba3e419055ac6daae7c4d03,40,6525300
0xb64ef51c888972c908cfacf59b47c1afbc0ab8ac,0x78903c52de3923d203881f1b766160cba5a37f59,0x9611d750b641f12bf570e2223e60240e4ab80330,212000000,0x1c311805b1db73505f51951f1f86083e2c6d22c01195f541d057f44662bdb6bc,41,6525300
0xb64ef51c888972c908cfacf59b47c1afbc0ab8ac,0x78903c52de3923d203881f1b766160cba5a37f59,0xc0fae3319575099d8cfcb81de76c921e5c424d2d,179000000,0x4aaea4cb032a71fc34a9c3ae7d149d0c4f8872bcf554d17299190fa45b9dc52f,42,6525300
0xb64ef51c888972c908cfacf59b47c1afbc0ab8ac,0x78903c52de3923d203881f1b766160cba5a37f59,0x11f6a1f7318ba01a0acf0147bb824b1a31a54090,395000000,0xf36d992b7ea9ba582ea88823544d529a39cea2fd88b499be1c0f6fad10c91bfd,43,6525300
0xb64ef51c888972c908cfacf59b47c1afbc0ab8ac,0x78903c52de3923d203881f1b766160cba5a37f59,0x4584e8d4baced9172c6be519f51290d7f7f3eb0e,576000000,0xa57681ad64635d39016d1fb029dadf82b464dd82b7f0dba0c5e5bc414723f6e0,44,6525300
0xb64ef51c888972c908cfacf59b47c1afbc0ab8ac,0x78903c52de3923d203881f1b766160cba5a37f59,0xf7ba3137ab8e6b779b0a485843d329d5ce509df7,189000000,0x8b48722d44676e2c09ad1fe10932624cffcdc1eb215555deb000740267fa2f17,45,6525300
0xb64ef51c888972c908cfacf59b47c1afbc0ab8ac,0x78903c52de3923d203881f1b766160cba5a37f59,0x9fbe818bf56c7ecfb9827b7723ecb16c43acaad6,1503000000,0xd4faba89a5a5fec0b33902c05062e2d080ed86519e13007241234dd34ae7335f,46,6525300
0xb64ef51c888972c908cfacf59b47c1afbc0ab8ac,0x78903c52de3923d203881f1b766160cba5a37f59,0x5696e2c777be680b84cb5b31cbc249f719ae02e9,1968000000,0xb72620dc6939625915b9a73c7332d350a26b7ac51318f1682333383f3c267745,47,6525300
0xb64ef51c888972c908cfacf59b47c1afbc0ab8ac,0x78903c52de3923d203881f1b766160cba5a37f59,0x6bc18501af6bd2fe84316d1621888b43c2e1912a,376000000,0xfc6d132354176fc073f6f5c3ee98047fbb4f4ac827a34e759aced43ba03fcc2d,48,6525300
0xb64ef51c888972c908cfacf59b47c1afbc0ab8ac,0x78903c52de3923d203881f1b766160cba5a37f59,0xc623f91fb0cea34c11a6573ce057baa9e8b08e91,572000000,0xe2121e94d01952d630a7ae30b2e0b66e477db9907ddbc0deacc5cb4342a7f617,49,6525300
0xb64ef51c888972c908cfacf59b47c1afbc0ab8ac,0x78903c52de3923d203881f1b766160cba5a37f59,0xf3b68ec8a4f779e20bb7d96853f68cacbc1a3d31,2363000000,0xb4322a795043466b693f70dc9c3ae0338c02c69bb80561c1ab5b18fa77b849c4,50,6525300
